Seasons_Autumn,Seasons_Spring,Seasons_Summer,Seasons_Winter,Holiday_Holiday,Holiday_No Holiday,dayname_Friday,dayname_Monday,dayname_Saturday,dayname_Sunday,dayname_Thursday,dayname_Tuesday,dayname_Wednesday,Hour_cat_Afternoon(12~17),Hour_cat_Dawn(0~5),Hour_cat_Evening(18~23),Hour_cat_Morning(6~11),Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (mm),month,weekend,WEP (mm)
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.6457580187771894,0.3978222324073893,0.8596098128820115,-1.192647610725372,0.47939776121031363,0.7044950142765151,-0.5559782917636894,-0.14125327883151229,-0.1781057493664113,0.7110064318490154,-0.632834588424933,-0.1474557687191013
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.219449824683449,-1.8210261797943073,0.46821973803563555,1.5261832453433977,0.9258737865415383,-1.35580470165313,-0.6475775332438344,-0.14125327883151229,2.3859145701894855,-1.6268414291446816,-0.632834588424933,-0.05611594710384673
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.219449824683449,-1.6445268742782635,-0.8037980052150865,-0.9984454067204599,0.919283734507129,-1.6545098649291752,-0.6475775332438344,-0.14125327883151229,-0.1781057493664113,-1.6268414291446816,1.580191756725731,-0.1474557687191013
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.3589121158240597,1.3979849636649722,-0.021017855522334466,-0.41583879470572344,0.8517357011544345,1.2406324868232628,1.276006537839208,-0.14125327883151229,-0.1781057493664113,0.41877544922480325,1.580191756725731,-0.1474557687191013
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.07135673860563499,-0.43424592216824703,-2.1736632671774028,-0.02743438669589927,0.4118497278576191,-1.70812361218385,1.4248553052444435,-0.14125327883151229,-0.1781057493664113,1.2954683970974397,-0.632834588424933,-0.1474557687191013
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9326039217303193,-0.5435073970115124,0.7128385348146206,-1.3868498147302841,-0.3608338731768619,-0.17630226205028487,-0.6475775332438344,-0.14125327883151229,-0.1781057493664113,1.2954683970974397,1.580191756725731,-0.1474557687191013
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.9326039217303193,-0.19050878597942422,1.1531523690167935,-1.3868498147302841,0.5601258986318266,0.267925929488449,-0.6475775332438344,-0.14125327883151229,-0.1781057493664113,1.0032374144732275,-0.632834588424933,-0.1474557687191013
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6457580187771894,-1.3671708227530512,-0.21671289294552248,-0.5129398967081796,-0.5354702520887062,-1.1873043531384377,-0.6475775332438344,-0.14125327883151229,-0.1781057493664113,-1.6268414291446816,1.580191756725731,-0.1474557687191013
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2154891643474948,-0.29977026082268965,-0.6081029677918985,1.9145876533532222,0.7133446084318409,-0.44437099832365873,1.058458339323864,-0.14125327883151229,-0.1781057493664113,1.0032374144732275,1.580191756725731,-0.1474557687191013
0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.219449824683449,-2.0479538583149357,-0.21671289294552248,-1.095546508722916,0.9258737865415383,-1.7617373594385246,-0.6475775332438344,-0.14125327883151229,-0.1781057493664113,-1.3346104465204693,-0.632834588424933,-0.1474557687191013
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2187403504181542,-1.2242904325733965,1.5934662032189666,-0.02743438669589927,-1.9243237183404491,-0.5362802793316727,-0.6475775332438344,-0.14125327883151229,8.283161305168047,-1.6268414291446816,-0.632834588424933,0.15396564261123868
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.2154891643474948,1.0365816237987866,0.8106860535262146,-0.9984454067204599,0.9176362214985267,1.2482915935739307,0.4516133645179042,-0.14125327883151229,-0.1781057493664113,0.41877544922480325,-0.632834588424933,-0.1474557687191013
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.5062957276365787,-1.4428133822599272,-0.4613316897245075,-1.095546508722916,0.9258737865415383,-1.3404864881517942,-0.6475775332438344,-0.14125327883151229,-0.1781057493664113,1.5876993797216516,1.580191756725731,-0.1474557687191013
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6450485445118945,1.5660795403469188,-0.11886537423392847,0.16676781730901283,0.9258737865415383,1.3402008745819447,0.4058137437778318,-0.14125327883151229,-0.1781057493664113,0.41877544922480325,-0.632834588424933,-0.1474557687191013
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3582026415587648,-0.6023404988501937,0.12575342254505653,1.429082143340942,-1.3427516263038357,-0.4060754645703196,-0.05218246362289261,-0.14125327883151229,-0.1781057493664113,-1.6268414291446816,1.580191756725731,-0.1474557687191013
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07135673860563499,1.3307471329921934,-0.9016455239266805,0.555172225318837,-1.036314206703807,0.7351314412791863,2.9591426000368704,-0.14125327883151229,-0.1781057493664113,-0.16568651602362097,1.580191756725731,-0.1474557687191013
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.219449824683449,-1.5016464840986088,-0.11886537423392847,-1.095546508722916,0.11035484728339731,-1.2638954206451158,-0.6475775332438344,-0.14125327883151229,-0.1781057493664113,-1.6268414291446816,1.580191756725731,-0.1474557687191013
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9326039217303193,-1.0309816693891578,1.0553048503051996,-1.3868498147302841,-1.4383073808027693,-0.49798474557833355,-0.6475775332438344,-0.14125327883151229,-0.1781057493664113,-1.0423794638962574,1.580191756725731,-0.1474557687191013
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3582026415587648,-0.056033124633866886,0.6639147754588236,0.16676781730901283,0.6952219653372156,0.23728950248577774,0.5661124163680854,-0.14125327883151229,-0.1781057493664113,1.0032374144732275,1.580191756725731,-0.1474557687191013
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.6457580187771894,0.10365672321398253,1.4956186845073727,-1.095546508722916,-0.44979957564138634,0.6279039467698369,-0.61322781768878,-0.14125327883151229,-0.1781057493664113,1.0032374144732275,1.580191756725731,-0.1474557687191013
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07135673860563499,0.893701233619132,0.27252470061244755,0.16676781730901283,0.05928194401672586,0.926609110045882,0.25696497637259635,-0.14125327883151229,-0.1781057493664113,0.7110064318490154,1.580191756725731,-0.1474557687191013
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2154891643474948,1.5324606250105297,-0.2656366523013195,0.06966671530655688,0.9258737865415383,1.2406324868232628,2.031700280050403,-0.14125327883151229,-0.1781057493664113,0.41877544922480325,1.580191756725731,-0.1474557687191013
